A1 A2 A3 A4 A5 A6 A7 SR3 SR4 SR5 SR6 SR7 c0 c1 d0 d1 dx1 gamma1 log_A1 log_A2 log_A3 log_A4 log_A5 log_A6 log_A7 mu1 mu2 mu3 mu4 mu5 mu6 mu7 sigma1 sigma2 sigma3 sigma4 sigma5 sigma6 sigma7
3.3461079926869135 0.7753183036251513 2.2576515485174378 3.289162346077845 2.7944029000131 2.5935552181500285 1.494331339716721 0.44237486619654676 0.8599291442603362 0.43458162670309414 0.638038841558208 0.591870349968029 1.6419498651568358 -0.00141227935955683 1.4149439231533931 -0.0004118893927227396 0.5971213985943553 27.941604805456357 1.2077978772042648 -0.25448161959381005 0.8143251351820285 1.19063292630429 1.0276184523045 0.9530296055601227 0.401678842386561 589.1573242911103 589.1572613853918 589.1147142853132 589.1280664650437 588.9982965178756 589.0412323028785 589.0995447403938 11.301336669931633 38.62986303188379 1.4410279852539294 2.9545189921220603 6.470776029226904 6.16248346088912 5.878686323013506
3.293095369944181 0.7660520219486906 2.2567746396715096 3.3036651842156255 2.8023521739847603 2.6046701769576535 1.4959003749389768 0.44381186486709673 0.8556773844738563 0.4328974076012506 0.6387078100512722 0.5929489431703803 1.6418065455396018 -0.0014093413089359417 1.4138867256476677 -0.0004113969237858286 0.5971107879678713 28.082617828021526 1.1918279643912462 -0.26650519777644494 0.8139366433470079 1.1950325140273605 1.0304591266638627 0.9573060556568429 0.4027282830426594 589.1573250106882 589.1572673132632 589.1147152038574 589.1280683915242 588.998304732665 589.0412236532935 589.0995435953625 11.361752450081637 38.58491735594977 1.446755907582371 2.954493771711286 6.477845895173443 6.15844559669565 5.856244836115376
3.3100869858467488 0.7730836861031446 2.266380109872939 3.2792831818257278 2.8244664567897684 2.6102991508914273 1.477196637301896 0.4467957657150352 0.8569032909098001 0.43383383854863306 0.6380977122334428 0.5934641314419268 1.6448285121006276 -0.0014080134135191422 1.415284203150939 -0.00040858019828360993 0.597123867344737 28.135476696881582 1.1969744687556747 -0.2573679748015948 0.8181838934071223 1.1876248563859395 1.0383194819080126 0.9594648319663333 0.39014612759366396 589.1573171307459 589.1572606524355 589.1147147531038 589.1280691436565 588.9982989968494 589.04121748779 589.0995431853038 11.471966215724766 38.615421170006066 1.4502063473373525 2.9551694659072183 6.469724221609613 6.149982433285563 5.822226989192846
3.3112636082305364 0.7718161223287637 2.253409460119773 3.220174952268754 2.8508075098192607 2.6236033241819383 1.4861361725685376 0.4495570259091248 0.8612102129386463 0.4322014556266235 0.6380851925701265 0.5951200140044243 1.6437728055632612 -0.0014127106643201863 1.413885929819224 -0.0004064614936957165 0.5971356019110922 27.999625275090583 1.1973298712915939 -0.25900894083952264 0.8124443848929164 1.1694356910830515 1.0476022909269624 0.9645486874674145 0.3961795790880954 589.1573254575584 589.157251431838 589.1147127585435 589.1280698593333 588.9983385762397 589.0411832119663 589.0995361940251 11.46680635200406 38.613603949136866 1.4426409525142005 2.9549718204931206 6.471025921494791 6.158630238019435 5.822288789102112
3.3025702782560735 0.7696485621886676 2.250787878006171 3.2377406560387683 2.8550521385448584 2.623071303863138 1.491717435549325 0.44939926413450215 0.8618374439358901 0.4326540866144053 0.6377551660510206 0.5946740442327816 1.6432191704242367 -0.0014125119231544975 1.4135787964986453 -0.00040523701375478406 0.5971439529976077 27.996624044010087 1.1947010375077005 -0.2618212810643962 0.8112803229245649 1.1748757581746165 1.0490901051285628 0.9643458846033758 0.3999280974846654 589.1573257107075 589.1572520377939 589.1147158152824 589.1280663803474 588.9983395127337 589.0411796268613 589.0995367288632 11.468894966363827 38.60492751070704 1.4402002085759582 2.9547833920422457 6.475539552898456 6.159736142418669 5.8328476419853414
3.3044564759212185 0.7719111318161421 2.2501309569090897 3.2536892600599328 2.8494759929828284 2.6153857915993663 1.4789279465958252 0.4510455274361209 0.8613768133732042 0.4295280547540819 0.6383149397672697 0.5937171773118963 1.6413998496925175 -0.0014106110733320062 1.414934546639956 -0.0004056873757891644 0.5971392575982575 28.038495892259704 1.1952720046875125 -0.25888584981130736 0.8109884175933023 1.1797895094796889 1.0471351152645607 0.961411616883693 0.391317464892038 589.1573227477807 589.157247497445 589.1147085744643 589.1280728938598 588.9983336478406 589.0411921189012 589.0995412980827 11.538202865663717 38.63463509876744 1.4395916229149766 2.955018593751792 6.469720215212881 6.162151964094597 5.818792894363042
3.303840087043379 0.7696311296728022 2.261952584177098 3.265943625932975 2.853963237894442 2.609278113067681 1.4880972577474643 0.44954490180779344 0.8579001009524657 0.43201604231511137 0.6380138299635371 0.5942084099938276 1.642045609213099 -0.001406833205020613 1.4142028064441625 -0.0004022937959936011 0.5971412921544378 28.0286799259473 1.1950854546821505 -0.2618439312896389 0.8162284155719695 1.1835487335092152 1.0487086380657433 0.9590735980463682 0.3974982956643625 589.1573258323385 589.1572493437777 589.1147108006014 589.1280639235472 588.9983353794948 589.0411925916286 589.0995427121741 11.515229564390788 38.62854199777933 1.4406491399647146 2.9548603379155614 6.462336098030846 6.15737717549162 5.840270039779083
3.2978054496514857 0.7709561565162708 2.2827574055861506 3.3154644654242027 2.856944605745062 2.6059621740364656 1.4874458752672424 0.44746824065544677 0.8567753180453223 0.4319861647371439 0.6373234773950542 0.59609247825741 1.6416020496028092 -0.0014017461561855423 1.4156591748457779 -0.0004028245436955138 0.5971647430310434 28.053379980753142 1.1932572319945807 -0.2601237727733762 0.8253841006602496 1.198597724056849 1.0497527341019914 0.9578019636458391 0.3970604714006845 589.1573227973086 589.1572551440072 589.1147097778388 589.1280631825471 588.9983222657276 589.0411959953434 589.0995528294519 11.550652463950497 38.64004442708016 1.4350401491527156 2.955037725633841 6.469171704969637 6.1695899358205635 5.833127532166562
3.3095328308368863 0.7697576926761925 2.273424518915638 3.2529001873280703 2.8661395972265002 2.6003227603433317 1.4603441217801152 0.4492161145847587 0.8596290390109742 0.4317110895559403 0.6372762066729798 0.598066465748933 1.6435237037601997 -0.0014034469485507343 1.4168774461835465 -0.0004017355628912682 0.5971481455068818 28.00774453989954 1.1968070407079912 -0.26167949849418404 0.821287293342796 1.1795469637521272 1.0529660362541509 0.9556355759164679 0.37867210779679356 589.1573298002469 589.1572561265273 589.1147088234758 589.1280620908398 588.9983326326918 589.0411925102193 589.0995447755009 11.564960858840399 38.65560774430353 1.4281489431816234 2.9550209030602583 6.464815598001954 6.174224602182704 5.819763385316865
3.3036579713140783 0.7697382067340823 2.2925007167014364 3.3117044497179826 2.847107318245615 2.610324643485833 1.4773442828664807 0.4479374653931654 0.8549908777206568 0.43283965193952817 0.636189729046551 0.594108029610753 1.6420770360345147 -0.0014031592169924066 1.4149135450695698 -0.00040386119707407574 0.597137814057211 28.018611892543834 1.1950303307221468 -0.2617048131989763 0.8296432377771957 1.1974629963449657 1.0463035027893934 0.959474598076825 0.39024607243700626 589.1573256794545 589.1572628864623 589.1147059149673 589.1280647837648 588.9983100340733 589.0411982393576 589.0995501113866 11.596228875834317 38.658862955091266 1.4391674458542443 2.9550984676141114 6.462655008255573 6.177169626126587 5.833143016713026
