wavelength flux flux_loerr flux_uperr residual
589.4905069167056 1.340505289167722 1.2600243425551734 1.349072514809152 0.06536797693002816
589.4915071606835 1.3398198927182448 1.2596510825255074 1.3483802793249693 0.01989174761621504
589.4915071645005 1.3395906311342167 1.2595261967561409 1.348146195235195 0.08602058042831029
589.4925074084783 1.3389004612109412 1.2591501395046238 1.3474331240316542 -0.006215222407814469
589.4925074122954 1.3386696019652722 1.2590243151535676 1.3471990519857224 0.05171802780554979
589.4935076562733 1.3379746196345392 1.2586454235177458 1.346518908442849 -0.024732970391323494
589.4935076600906 1.3377421497439885 1.258518648093442 1.346284255610486 -0.018863355290399175
589.4945079040683 1.3370423160439928 1.2581368842846885 1.3455750296512763 -0.03088142495898305
589.4945079078852 1.336808222517642 1.2580091450852524 1.3453428872248014 -0.0586585748778663
589.4955081518632 1.3361034984645412 1.257624470676896 1.3446433385894814 -0.023443044232835053
589.4955081556805 1.3358677683044702 1.2574957547854035 1.344404936323062 -0.06924624142651337
589.4965083996582 1.3351581149000853 1.2571081307016558 1.3436911238891756 -0.04634278628346844
589.4965084034754 1.334920735105152 1.256978424983105 1.3434461519847025 0.021655066663476497
589.4975086474533 1.3342061133423728 1.2565878114866733 1.3427177685494889 -0.07013455469896201
589.4975086512704 1.3339670709096216 1.256457102583632 1.3424681558259104 0.07410956529860568
589.498508895248 1.3332474417795503 1.2560634592642468 1.3417323642436896 -0.09070571995437926
589.4985088990652 1.3330067237060395 1.255931733592722 1.3414951206579386 0.06112083503233268
589.4995091430433 1.3322820482028985 1.2555350193544164 1.3407760406914553 -0.01764629320037492
589.4995091468604 1.3320396414880962 1.25540226310003 1.3405325115308746 -0.020417348509074174
589.5005093908381 1.33130988061673 1.255002436149842 1.3397826263499701 0.029197953434717094
589.5005093946555 1.3310657722640291 1.2548686352635257 1.339535798442795 -0.07147074168016387
589.5015096386335 1.3303308870433768 1.2544656530980165 1.338782833762964 -0.07221995701031791
589.5015096424505 1.3300850640625748 1.2543097825987097 1.3385393491946302 -0.02338176077756482
589.5025098864286 1.3293450155322395 1.2537800514534476 1.337813211869599 0.027556202403428598
589.5025098902457 1.329097464940043 1.2536027627831723 1.3375715355669144 -0.07659014487985627
589.5035101342236 1.3283522141645259 1.253168575704583 1.33684170558546 0.16712439668832335
589.5035101380407 1.3281029229869756 1.253031909415 1.3366003623681908 -0.11152044009298567
589.5045103820188 1.3273524310594471 1.2526202721852475 1.3358664902723534 0.04100296685855365
589.504510385836 1.3271013863328316 1.2524825075298802 1.335622154462051 0.06533464108058262
589.5055106298139 1.3263456143802244 1.2520675524885578 1.3348664801940096 -0.005000372485132187
589.5055106336312 1.3260928031526216 1.2519286742451723 1.3346089363431257 0.05698772277629027
589.5065108776091 1.3253317123375161 1.251510355337876 1.3338423480455137 0.00197835152175152
589.5065108814264 1.325077121669442 1.251370348024628 1.333579703806684 -0.03963977105827943
589.5075111254043 1.3243106731940066 1.2509486184120158 1.3328394004424795 -0.005092156488770261
589.5075111292213 1.3240542901597274 1.250807466283278 1.3325836577234829 -0.02008618279980179
589.5085113731993 1.3232824452671712 1.2503822783272895 1.3318102486932222 0.04778884688180707
589.5085113770165 1.3230242569543147 1.2502399653686131 1.331550262798377 -0.0002352958552083173
589.5095116209947 1.3222469769305474 1.2498112706190319 1.330784163143958 0.16103243548979385
589.5095116248119 1.321986970441586 1.2496677805432204 1.3305311246153224 0.019871982121011156
589.5105118687899 1.3212042166162976 1.2492355297241717 1.329730829893857 0.12111489941892417
589.510511872607 1.3209423790683554 1.249090845966524 1.3294741219643635 0.11033100623786884
589.5115121165851 1.3201541128135896 1.2486549889618808 1.32869038370454 0.09170227095706274
589.5115121204024 1.319890431337422 1.2485090946750748 1.32842396960394 0.10389122655002292
589.5125123643804 1.3190966140672775 1.2480695805147977 1.3276224354862665 0.09073337143441007
589.5125123681978 1.3188310758074726 1.247922458564561 1.3273595775276943 -0.02266014351592105
589.5135126121755 1.3180316689749887 1.2474792354098265 1.326580587628528 -0.031111855227686336
589.513512615993 1.317764261088225 1.2473308683696476 1.3263222359725997 -0.02453386664020596
589.514512859971 1.3169592261799938 1.2468838834970821 1.3255417249984727 -0.11889044549830996
589.5145128637882 1.3166899358337376 1.246734253643292 1.3252814745518382 0.01723061340692711
589.5155131077662 1.315879234364418 1.2462834534295277 1.3244980708965703 -0.07626158935125305
589.5155131115837 1.315608048733094 1.2461325427351069 1.3242343403468018 0.11411542295542954
589.5165133555615 1.3147916422342378 1.2456778726385704 1.3234328668124393 -0.0013881721647672762
589.5165133593789 1.314518548496356 1.245525662767613 1.3231655248349812 0.08836207397065321
589.517513603357 1.3136963985018801 1.2450670673088229 1.3223775080032685 0.07077109777825163
589.5175136071742 1.3134213838333504 1.2449135396090039 1.3221139972831484 0.049258103457934466
589.5185138511524 1.3125934518585072 1.2444483471711827 1.3213209512651491 0.08891757531754796
589.5185138549698 1.312316503424281 1.2442897006871916 1.3210548011526742 0.06325890434954995
589.5195140989478 1.3114827509348403 1.2438116700362831 1.320252335730401 0.05023557408344237
589.5195141027652 1.3112038558766188 1.243651621860042 1.3199839891550955 0.06663546513757623
589.5205143467432 1.310364244242737 1.2431693567043727 1.3191637629738664 -0.014011399144142844
589.5205143505605 1.3100833896608894 1.243007887110301 1.3188858934224257 0.06904415930013497
589.5215145945385 1.309237880091361 1.2425213277305966 1.3180698401917452 -0.035392442971225346
589.5215145983559 1.3089550530172547 1.2423584166246733 1.3177955919162467 0.09129405435801452
589.5225148423341 1.3081036064611884 1.2418675021496983 1.3169836641365513 0.006397342623743585
589.5225148461514 1.3078187938186758 1.241703129035628 1.316711791828674 0.12425597018210821
589.5235150901293 1.3069613708213996 1.2412077973183173 1.3158925143645788 0.09895223753071991
589.5235150939468 1.3066745470069738 1.2410419412473912 1.3156181654331534 0.1543475604258875
589.5245153379249 1.3058096785675217 1.2405421286847764 1.3147812690470129 0.045548502775750954
589.5245153417421 1.305520377751903 1.2403747681845518 1.3145075421925003 0.0013558786977341253
589.5255155857202 1.3046494473803694 1.239870409458533 1.3136571464019347 0.051034572053535676
589.5255155895377 1.3043581189304707 1.2397015224280934 1.3133809810574435 -0.030399537194418347
589.5265158335159 1.303481084334808 1.2391925501286363 1.3125405870604978 0.1277041907153489
589.5265158373334 1.3031877138424999 1.2390221136887452 1.3122534370218406 0.058347147066045046
589.5275160813114 1.302304530638029 1.2385084577708831 1.3114049742168847 0.13338950653524173
589.5275160851288 1.3020091028492562 1.2383364480468206 1.3111234947504697 0.05850589568624076
589.528516329107 1.3011197235663183 1.2378180350494086 1.3102691818601118 0.09457120899864213
589.5285163329245 1.3008222219840877 1.2376444268599267 1.3099857267100197 0.02440440688254153
589.5295165769027 1.2999265946382892 1.2371211787904846 1.3091343097515367 -0.013620346584774623
589.5295165807199 1.2996270009535196 1.2369467576535333 1.3088453345997724 -0.055530873844252815
589.5305168246982 1.2987250669964023 1.2364219834947867 1.3079860985577574 0.00011720509707990878
589.5305168285157 1.2984233602728463 1.236246232649785 1.3076971665572632 0.044910014956415445
589.5315170724937 1.2975150516784544 1.2357164856653486 1.3068215452772043 0.0426459011374436
589.5315170763113 1.2972112072005624 1.2355390607679477 1.3065300680197922 0.12591530101218162
589.5325173202892 1.2962964423526526 1.2350042388603961 1.3056626396688031 0.08112253670968439
589.5325173241067 1.295990430004613 1.2348251036056277 1.305366635042308 0.08903970232813241
589.533517568085 1.2950691079414418 1.2342850897088733 1.3044873939622936 0.026621635479547656
